"rating","price","rq","ju","vo","wa","kr","education","gender","income","age"
9,34.8837,0,0,0,1,0,1,0,1,39
7,50.8721,0,0,0,1,0,1,0,1,39
14,20.3488,0,0,0,0,1,1,0,1,39
8,35.6105,0,0,0,0,1,1,0,1,39
6,50.8721,0,0,0,0,1,1,0,1,39
20,20.3488,1,0,0,0,0,0,0,0,79
20,35.6105,1,0,0,0,0,0,0,0,79
20,50.8721,1,0,0,0,0,0,0,0,79
5,21.8023,0,0,1,0,0,0,0,0,79
10,35.6105,0,0,1,0,0,0,0,0,79
10,49.4186,0,0,1,0,0,0,0,0,79
20,21.0756,0,1,0,0,0,0,0,0,79
20,36.3372,0,1,0,0,0,0,0,0,79
7,49.4186,0,1,0,0,0,0,0,0,79
20,21.0756,0,0,0,1,0,0,0,0,79
20,34.8837,0,0,0,1,0,0,0,0,79
20,50.8721,0,0,0,1,0,0,0,0,79
10,20.3488,0,0,0,0,1,0,0,0,79
20,35.6105,0,0,0,0,1,0,0,0,79
10,50.8721,0,0,0,0,1,0,0,0,79
20,20.3488,1,0,0,0,0,1,0,0,26
20,35.6105,1,0,0,0,0,1,0,0,26
20,50.8721,1,0,0,0,0,1,0,0,26
11,21.8023,0,0,1,0,0,1,0,0,26
11,35.6105,0,0,1,0,0,1,0,0,26
16,49.4186,0,0,1,0,0,1,0,0,26
14,21.0756,0,1,0,0,0,1,0,0,26
13,36.3372,0,1,0,0,0,1,0,0,26
15,49.4186,0,1,0,0,0,1,0,0,26
15,21.0756,0,0,0,1,0,1,0,0,26
15,34.8837,0,0,0,1,0,1,0,0,26
15,50.8721,0,0,0,1,0,1,0,0,26
16,20.3488,0,0,0,0,1,1,0,0,26
17,35.6105,0,0,0,0,1,1,0,0,26
17,50.8721,0,0,0,0,1,1,0,0,26
19,20.3488,1,0,0,0,0,1,0,1,31
4,35.6105,1,0,0,0,0,1,0,1,31
4,50.8721,1,0,0,0,0,1,0,1,31
19,21.8023,0,0,1,0,0,1,0,1,31
4,35.6105,0,0,1,0,0,1,0,1,31
4,49.4186,0,0,1,0,0,1,0,1,31
19,21.0756,0,1,0,0,0,1,0,1,31
4,36.3372,0,1,0,0,0,1,0,1,31
4,49.4186,0,1,0,0,0,1,0,1,31
19,21.0756,0,0,0,1,0,1,0,1,31
4,34.8837,0,0,0,1,0,1,0,1,31
4,50.8721,0,0,0,1,0,1,0,1,31
4,20.3488,0,0,0,0,1,1,0,1,31
4,35.6105,0,0,0,0,1,1,0,1,31
4,50.8721,0,0,0,0,1,1,0,1,31
20,20.3488,1,0,0,0,0,0,0,1,35
20,35.6105,1,0,0,0,0,0,0,1,35
6,50.8721,1,0,0,0,0,0,0,1,35
20,21.8023,0,0,1,0,0,0,0,1,35
20,35.6105,0,0,1,0,0,0,0,1,35
6,49.4186,0,0,1,0,0,0,0,1,35
20,21.0756,0,1,0,0,0,0,0,1,35
20,36.3372,0,1,0,0,0,0,0,1,35
6,49.4186,0,1,0,0,0,0,0,1,35
18,21.0756,0,0,0,1,0,0,0,1,35
6,34.8837,0,0,0,1,0,0,0,1,35
6,50.8721,0,0,0,1,0,0,0,1,35
15,20.3488,0,0,0,0,1,0,0,1,35
15,35.6105,0,0,0,0,1,0,0,1,35
6,50.8721,0,0,0,0,1,0,0,1,35
20,20.3488,1,0,0,0,0,1,1,0,26
20,35.6105,1,0,0,0,0,1,1,0,26
10,50.8721,1,0,0,0,0,1,1,0,26
20,21.8023,0,0,1,0,0,1,1,0,26
10,35.6105,0,0,1,0,0,1,1,0,26
10,49.4186,0,0,1,0,0,1,1,0,26
20,21.0756,0,1,0,0,0,1,1,0,26
10,36.3372,0,1,0,0,0,1,1,0,26
1,49.4186,0,1,0,0,0,1,1,0,26
20,21.0756,0,0,0,1,0,1,1,0,26
10,34.8837,0,0,0,1,0,1,1,0,26
1,50.8721,0,0,0,1,0,1,1,0,26
10,20.3488,0,0,0,0,1,1,1,0,26
1,35.6105,0,0,0,0,1,1,1,0,26
1,50.8721,0,0,0,0,1,1,1,0,26
20,20.3488,1,0,0,0,0,0,1,0,34
14,35.6105,1,0,0,0,0,0,1,0,34
11,50.8721,1,0,0,0,0,0,1,0,34
10,21.8023,0,0,1,0,0,0,1,0,34
13,35.6105,0,0,1,0,0,0,1,0,34
10,49.4186,0,0,1,0,0,0,1,0,34
10,21.0756,0,1,0,0,0,0,1,0,34
10,36.3372,0,1,0,0,0,0,1,0,34
9,49.4186,0,1,0,0,0,0,1,0,34
14,21.0756,0,0,0,1,0,0,1,0,34
14,34.8837,0,0,0,1,0,0,1,0,34
5,50.8721,0,0,0,1,0,0,1,0,34
9,20.3488,0,0,0,0,1,0,1,0,34
11,35.6105,0,0,0,0,1,0,1,0,34
5,50.8721,0,0,0,0,1,0,1,0,34
20,20.3488,1,0,0,0,0,1,0,0,21
15,35.6105,1,0,0,0,0,1,0,0,21
12,50.8721,1,0,0,0,0,1,0,0,21
19,21.8023,0,0,1,0,0,1,0,0,21
18,35.6105,0,0,1,0,0,1,0,0,21
18,49.4186,0,0,1,0,0,1,0,0,21
9,21.0756,0,1,0,0,0,1,0,0,21
10,36.3372,0,1,0,0,0,1,0,0,21
2,49.4186,0,1,0,0,0,1,0,0,21
16,21.0756,0,0,0,1,0,1,0,0,21
12,34.8837,0,0,0,1,0,1,0,0,21
2,50.8721,0,0,0,1,0,1,0,0,21
8,20.3488,0,0,0,0,1,1,0,0,21
10,35.6105,0,0,0,0,1,1,0,0,21
2,50.8721,0,0,0,0,1,1,0,0,21
20,20.3488,1,0,0,0,0,1,1,1,21
18,35.6105,1,0,0,0,0,1,1,1,21
